Title,Duration
Menashe,1h 22Minutes
Mountain,1h 13Minutes
Mistaken For Strangers,1h 20Minutes
Man On Wire,1h 34Minutes
More Than Ever,2h 3Minutes
Mr. Bachmann and His Class,3h 37Minutes
Magic Mike,1h 50Minutes
Midwives,1h 31Minutes
My Old School,1h 44Minutes
The Million Dollar Hotel,2h 2Minutes
A Man Called Ove,1h 56Minutes
Meek's Cutoff,1h 43Minutes
"Moon, 66 Questions",1h 48Minutes
Memoria,2h 16Minutes
Murina,1h 36Minutes
The Metamorphosis of Birds,1h 41Minutes
The Mother,1h 52Minutes
Memory Box,1h 41Minutes
Mulholland Drive,2h 21Minutes
Minyan,1h 58Minutes
Mothering Sunday,1h 44Minutes
My Little Sister,1h 36Minutes
The Mauritanian,2h 9Minutes
Minamata,1h 55Minutes
My Scientology Movie,1h 35Minutes
Mogul Mowgli,1h 30Minutes
The Most Beautiful Boy in the World,1h 33Minutes
My Friend Dahmer,1h 43Minutes
Monsters And Men,1h 35Minutes
Mary And The Witch's Flower,1h 43Minutes
Milou En Mai,1h 47Minutes
My Dinner With Andre,1h 49Minutes
Making Noise Quietly,1h 35Minutes
My Night With Maud,1h 45Minutes
Martin Eden,2h 9Minutes
Midnight Traveller,1h 30Minutes
The Man Standing Next,1h 54Minutes
Max Richter's Sleep,1h 39Minutes
Manchester by the Sea,2h 17Minutes
The Man Who Fell to Earth,2h 19Minutes
Maborosi,1h 49Minutes
The Macaluso Sisters,1h 34Minutes
The Maid,1h 40Minutes
Make Up,1h 26Minutes
Making Waves: The Art Of Cinematic Sound,1h 34Minutes
A Man Escaped,1h 35Minutes
The Man Without A Past,1h 33Minutes
Manglehorn,1h 37Minutes
Marjorie Prime,1h 34Minutes
Martyr,1h 24Minutes
Mary Shelley,1h 46Minutes
The Match Factory Girl,1h 8Minutes
